Project Name,Package Name,Type Name,LCOM,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,FANIN,FANOUT
.,org.gjt.sp.jedit.bufferset,BufferSetManager,0.47826087,1,0,23,19,274,56,0,0,8,13
.,org.gjt.sp.jedit.bufferset,BufferSetAdapter,-1,0,0,4,4,14,4,0,1,0,1
.,org.gjt.sp.jedit.bufferset,BufferSet,0.15,5,0,20,17,218,49,0,0,11,6
.,org.gjt.sp.jedit.bufferset,NameSorter,-1,0,0,1,1,9,2,0,0,0,2
.,org.gjt.sp.jedit.bufferset,PathSorter,-1,0,0,1,1,5,1,0,0,0,2
.,org.gjt.sp.jedit.proto.jeditresource,Handler,-1,0,0,1,1,9,1,0,0,0,1
.,org.gjt.sp.jedit.proto.jeditresource,PluginResURLConnection,0,3,0,4,4,85,22,0,0,1,3
.,org.gjt.sp.jedit.msg,BufferUpdate,0.4,12,10,5,5,86,6,0,1,15,2
.,org.gjt.sp.jedit.msg,DockableWindowUpdate,0,5,3,4,4,52,5,0,1,3,1
.,org.gjt.sp.jedit.msg,EditorExitRequested,0.75,1,0,4,4,34,4,0,1,1,1
.,org.gjt.sp.jedit.msg,PluginUpdate,0,10,5,8,8,110,12,0,1,9,3
.,org.gjt.sp.jedit.msg,BufferChanging,0,1,0,2,2,26,3,0,3,0,4
